,domain_name,number_of_answers,response_code,time
153,englishgrammarexpress.com,0,4,
154,au-agenda.com,0,0,291.5498046875
155,lapinkirjasto.fi,1,0,704.623046875
156,oceanic.com.br,0,0,445.419921875
157,kraftwurx.com,0,4,
158,nabu-natur-shop.de,1,0,624.620849609375
159,secand.jp,0,0,233.647705078125
160,theshackbook.com,1,0,342.092041015625
161,macekasyn.cz,1,0,348.319091796875
162,nickbb87.tumblr.com,0,4,
163,birdhouseskateboards.com,0,4,
164,soulboundstudios.com,0,4,
165,forstamps.ru,0,0,359.73876953125
166,oak.go.kr,1,0,676.579833984375
167,nigrizia.it,0,0,500.603759765625
168,inidhu.com,1,0,403.7607421875
169,whastapp.com,1,0,567.135986328125
170,vitadigest.com,2,0,238.085205078125
171,nierautomata.xyz,0,0,19.242919921875
172,protelescope.com,0,4,
173,tbgym.com,1,0,309.199951171875
174,webcam-weather.eu,0,0,22.735107421875
175,ezmls.com,3,0,189.7158203125
176,ohioswallow.com,1,0,499.003173828125
177,mbus.co.za,1,0,945.00390625
178,agiletesters.com.br,0,0,335.885009765625
179,spud.com,2,0,298.89697265625
180,greenwichpeninsulagolfrange.com,0,4,
181,premiercadeau.com,0,0,299.927001953125
182,mediaonegroup.ch,0,0,323.93603515625
183,interviewkiller.com,0,4,
184,aniq.org.mx,0,4,
185,app12345.com,1,0,719.44140625
186,itslb.com,2,0,34.470947265625
187,cyb114.com,1,0,179.37890625
188,deerantlerplus.com,1,0,197.202880859375
189,winds-score.com,1,0,36.775146484375
190,mobilecitywireless.com,0,4,
191,hebamme4u.net,0,0,288.6650390625
192,i--gu.ru,0,0,354.444091796875
193,wifepornpics.com,0,0,293.36572265625
194,sveza.ru,0,0,370.59765625
195,6-6-w.com,1,0,188.995849609375
196,whamisa.de,0,0,332.27294921875
197,studnet.net.ua,0,0,364.250244140625
198,creditservice.su,0,0,295.76611328125
199,longsnake88.com,1,0,43.629150390625
200,hardbase.fm,0,0,226.580078125
201,skia.org,0,0,801.733154296875
202,smartouch.no-ip.info,0,0,138.962158203125
203,blackeyedpeas.com,0,0,342.4248046875
204,exotic-erotics.com,0,4,
205,gimnastikasport.ru,0,0,379.229248046875
206,orsiitaliani.com,0,0,23.451171875
207,screwsandmore.de,0,0,188.190185546875
208,booyakashaa.com,1,0,426.19287109375
209,vse-kursy.by,0,0,322.363037109375
210,gmflymedia.com,0,4,
211,dewalt.com.mx,0,0,163.881103515625
212,dcmosquitosquad.com,0,4,
213,civ-wiki.de,0,0,188.76416015625
214,uchinghd.blogspot.in,0,0,46.109130859375
215,nonburari.jp,0,0,425.94091796875
216,51surfing.cn,0,0,191.646240234375
217,govco.co,0,0,286.9169921875
218,ifps.org.pl,0,4,
219,ponyturf.free.fr,1,0,1244.81103515625
220,howardpianoindustries.com,0,4,
221,pitbook.com,0,0,287.6201171875
222,anteprojectos.com.pt,0,0,136.307373046875
223,handsfreelink.com,1,0,466.701904296875
224,love17789.tumblr.com,2,0,301.33984375
225,webmaster.net.pl,0,0,452.35302734375
226,brivis.com.au,0,4,
227,bisnishack.com,1,0,449.767822265625
228,ifsanimal.com,0,0,186.2548828125
229,scryptmail.com,1,0,45.828857421875
230,hamradio.net.gr,0,0,290.5478515625
231,handbalinside.nl,0,0,34.332275390625
232,hackadoll-anime.com,0,4,
233,pakistanaffairs.pk,0,0,317.3828125
234,lntebg.com,1,0,453.505126953125
235,paktimes.pk,0,0,315.42822265625
236,vpsforex.ru,0,0,377.032958984375
237,funnydogsite.com,2,0,165.6708984375
238,jsise.org,0,0,450.76611328125
239,edugroupe.com,0,0,177.293212890625
240,odishabuzz.com,0,0,292.548828125
241,geronimo.it,0,0,287.748046875
242,sarov.ru,0,4,
243,12voltdata.com,1,0,346.7890625
244,dealersuite.com,1,0,220.94677734375
245,coindsk.com,1,0,178.479736328125
246,h5datacenters.com,0,4,
247,arsus.jp,1,0,430.148193359375
248,costatic.com,0,0,341.54833984375
249,playzo.de,1,0,673.951171875
250,midtownatl.com,0,4,
251,ones-style.jp,1,0,366.2353515625
252,charpente-total-bricoleurs.wifeo.com,0,4,
253,vocabolaudio.com,1,0,443.76611328125
254,turboentrada.com,4,0,37.896240234375
255,nargil.org,1,0,478.3759765625
256,gotvarstvo.bg,1,0,660.941162109375
257,xn--b1ahhahznja9a.xn--p1ai,0,0,350.39404296875
258,hyipcom.com,1,0,577.607177734375
259,pilkey.com,2,0,36.625
260,brokenpaintbrush.com,1,0,512.24072265625
261,guerciotti.it,1,0,654.14697265625
262,djembefola.com,1,0,458.19189453125
263,21474.tumblr.com,2,0,306.13525390625
264,eliquidmania.com,0,0,286.289306640625
265,vomit3d.com.br,0,0,318.17529296875
266,apasionadadelasredessociales.wordpress.com,2,0,375.10400390625
267,megacriativo.com,2,0,48.865966796875
268,oaa-accessibility.org,0,0,304.2060546875
269,briansclub.at,0,0,540.772216796875
270,lime-mortars.co.uk,0,0,33.524169921875
271,moritz.com,0,0,178.009033203125
272,uskudarsanat.com,2,0,570.418212890625
273,cue-products.com,0,0,178.39794921875
274,may-press.com,0,0,21.76416015625
275,kellenams.com,1,0,296.597900390625
276,sodomized.info,0,0,136.018798828125
277,privilegesletters.com,2,0,190.067138671875
278,intras.fr,0,0,356.904052734375
279,tnfactorydirect.com,0,4,
280,midlandchandlers.co.uk,0,0,428.97021484375
281,ohueli.net,0,0,347.46923828125
282,xn--h1aagpbh6b.xn--p1ai,0,0,548.761962890625
283,fiatpandaclub.nl,0,0,134.86328125
284,dosbrains.com,4,0,122.5830078125
285,litsoft.com.cn,0,0,202.69580078125
286,eshcosazehgostar.com,0,4,
287,cameraneon.com,0,4,
288,adiosatujefe.com,0,0,179.36083984375
289,messages.fr,0,0,175.451904296875
290,casalprocuracasal.com,0,4,
291,bhagwati.org,0,0,154.85888671875
292,dkilbo.com,1,0,301.405029296875
293,chujnia.pl,0,0,633.418701171875
294,harikesanallur.com,0,0,318.572998046875
295,sextube.space,0,0,134.13671875
296,59gg.cc,0,0,172.280029296875
297,quantummachinerygroup.com,0,4,
298,netseenergy.fr,0,0,369.75390625
299,guamjobsonline.com,0,4,
300,wrprates.com,0,0,175.31103515625
301,rpcmp.ru,0,0,636.348388671875
302,cpni.gov.uk,0,0,34.51904296875
303,mariohugo.com,0,0,180.224853515625
304,tetley.co.uk,0,0,40.281982421875
305,xn----gtbdmohbpajtp0j4b.xn--p1ai,0,0,375.325927734375
306,adres-ip.pl,0,0,334.22412109375
307,radioswhplus.lv,1,0,822.694091796875
308,adcrescendo.com,1,0,326.140869140625
309,dealmonster.co.uk,0,0,289.967041015625
310,nzcermarking.org.nz,0,0,66.099853515625
311,kleuterportaal.nl,1,0,350.715087890625
312,simsiki.ru,0,0,353.5869140625
313,streamslycs.com,1,0,286.7939453125
314,macaulifestyle.com,0,4,
315,cruisesheet.com,2,0,46.068115234375
316,mattcromwell.com,2,0,36.45703125
317,nordita.org,0,0,136.01171875
318,studiomoniker.com,1,0,457.548095703125
319,appleismo.com,0,4,
320,psbbmillenniumschool.org,0,0,145.212890625
321,tecidos.com.pt,0,0,347.623046875
322,eccemergency.com,1,0,504.469970703125
323,barellolens.com,0,4,
324,icsoutsourcing.com,0,4,
325,kruchten.com,1,0,44.11962890625
326,tzsucai.com,1,0,331.9619140625
327,safari-lodge.fr,0,0,312.1904296875
328,tk.ac.kr,0,4,
329,foxdad.com,0,4,
330,cuisine.in.ua,0,0,484.05908203125
331,krups.com,0,4,
332,idss.com,3,0,194.26904296875
333,cuatrogatos.org,0,0,308.54296875
334,tali.de,1,0,839.214111328125
335,webdelabelleza.com,1,0,485.5009765625
336,deloitteconference.com,0,4,
337,ohgratisporrfilm.com,0,4,
338,captaingeorges.com,0,4,
339,standon-calling.com,0,4,
340,webyeshiva.org,0,0,339.34912109375
341,picalica.net,0,0,149.880859375
342,viralviralvideos.de,0,0,330.16796875
343,pro12rugby.com,0,0,22.343017578125
344,hotbestporn.com,2,0,45.85693359375
345,onemorecoming.com,0,0,290.123046875
346,pornos.com,1,0,577.742919921875
347,nickheaven.weebly.com,0,4,
348,blogram.jp,0,0,246.06005859375
349,eichsfeld-gymnasium.de,1,0,735.712158203125
350,wildeastfootball.net,0,0,36.083740234375
351,orville.com,2,0,496.5869140625
352,egapark-erfurt.de,0,0,370.635986328125
353,malignani.ud.it,1,0,796.59814453125
354,mp2energy.com,0,4,
355,fazergroup.com,1,0,32.427734375
356,modeli3d.ru,0,4,
357,mygareclub.com,0,0,20.299072265625
358,zdatainc.com,2,0,307.986083984375
359,blakeshelton.com,0,0,343.677001953125
360,india-ifs.com,0,0,294.76025390625
361,psgstream.net,0,0,35.841064453125
362,souznik-airsoft.ru,0,0,364.518798828125
363,euromillions.online,0,0,285.5107421875
364,12streetgym.com,1,0,204.070068359375
365,riomarrecife.com.br,0,0,553.930908203125
366,myairbags.com,3,0,197.901123046875
367,sharkfin.ru,0,4,
